variant,size,seed,layers,similarity,species,num_clusters,cluster_sizes
with_influencer,40,42,2,hybrid,red,13,186;69;38;21;15;14;13;10;7;6;5;5;3
with_influencer,40,42,2,hybrid,green,12,217;50;38;37;35;25;24;22;16;8;6;4
with_influencer,40,42,2,hybrid,blue,10,125;96;92;23;18;13;8;7;2;1
without_influencer,40,20,2,hybrid,red,32,143;83;54;33;6;6;5;4;3;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
without_influencer,40,20,2,hybrid,green,32,114;53;37;32;22;16;16;15;13;10;8;6;5;5;4;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1
without_influencer,40,20,2,hybrid,blue,17,274;165;15;13;12;6;4;3;2;2;1;1;1;1;1;1;1
with_influencer,40,20,1,hybrid,red,12,188;105;55;29;16;15;14;5;3;3;2;1
with_influencer,40,20,1,hybrid,green,13,111;49;41;37;35;30;22;18;10;9;9;3;3
with_influencer,40,20,1,hybrid,blue,12,121;96;89;67;16;14;13;9;2;2;2;1
with_influencer,40,20,2,hybrid,red,8,166;126;51;15;15;6;3;2
with_influencer,40,20,2,hybrid,green,14,127;54;50;29;28;24;17;12;11;11;9;6;6;3
with_influencer,40,20,2,hybrid,blue,9,244;89;72;25;16;14;8;4;2
with_influencer,40,42,3,hybrid,red,7,258;139;62;7;6;2;1
with_influencer,40,42,3,hybrid,green,11,194;48;39;28;27;22;21;15;14;11;1
with_influencer,40,42,3,hybrid,blue,9,117;90;84;15;15;14;14;11;4
baseline,40,22,1,cosine,red,33,119;110;41;39;39;19;9;4;4;3;3;3;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
baseline,40,22,1,cosine,green,33,301;25;21;16;8;6;4;4;4;3;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
baseline,40,22,1,cosine,blue,31,133;116;58;26;17;16;3;3;3;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
with_influencer,40,20,3,hybrid,red,12,163;136;62;16;6;5;5;4;3;2;2;1
with_influencer,40,20,3,hybrid,green,11,119;51;34;32;29;25;15;5;4;2;1
with_influencer,40,20,3,hybrid,blue,7,252;200;23;17;16;12;3
baseline,40,605,1,cosine,red,40,221;105;28;6;4;3;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
baseline,40,605,1,cosine,green,49,257;34;20;9;6;5;4;4;4;3;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
baseline,40,605,1,cosine,blue,36,89;85;72;54;38;22;8;5;3;3;3;3;3;3;3;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
without_influencer,40,17,1,hybrid,red,14,200;50;33;27;20;16;14;12;3;2;2;1;1;1
without_influencer,40,17,1,hybrid,green,11,238;93;72;20;18;15;8;6;1;1;1
without_influencer,40,17,1,hybrid,blue,14,214;57;34;27;16;14;7;5;4;4;3;3;1;1
without_influencer,40,17,2,hybrid,red,34,202;45;40;24;20;16;11;8;4;4;3;3;3;3;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
without_influencer,40,17,2,hybrid,green,30,160;97;40;19;18;11;6;6;5;4;4;3;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1
without_influencer,40,17,2,hybrid,blue,20,137;76;68;58;52;9;7;7;5;4;4;2;2;2;1;1;1;1;1;1
without_influencer,40,17,3,hybrid,red,32,220;47;41;28;24;14;6;5;5;5;5;3;3;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1
without_influencer,40,17,3,hybrid,green,49,171;98;32;16;15;11;5;5;4;4;3;3;3;3;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
without_influencer,40,17,3,hybrid,blue,31,118;60;56;54;48;15;6;5;5;3;3;3;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
baseline,40,70,1,cosine,red,49,194;78;19;10;10;7;7;6;5;4;3;3;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
baseline,40,70,1,cosine,green,55,220;92;25;24;10;6;3;3;3;3;3;3;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
baseline,40,70,1,cosine,blue,47,104;92;62;41;29;8;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
with_influencer,40,17,1,hybrid,red,10,177;94;48;26;24;17;5;2;2;1
with_influencer,40,17,1,hybrid,green,11,93;89;80;76;53;18;16;15;6;6;5
with_influencer,40,17,1,hybrid,blue,9,130;72;60;45;36;23;15;10;1
without_influencer,40,22,1,hybrid,red,17,171;62;58;37;32;18;17;9;9;8;7;7;6;2;1;1;1
without_influencer,40,22,1,hybrid,green,16,181;113;25;23;19;17;17;16;14;12;5;2;2;1;1;1
without_influencer,40,22,1,hybrid,blue,17,118;81;36;27;16;12;11;11;9;8;5;4;4;1;1;1;1
without_influencer,40,22,3,hybrid,red,32,255;116;32;25;10;7;7;4;3;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
without_influencer,40,22,3,hybrid,green,29,194;184;24;19;13;11;6;5;4;3;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
without_influencer,40,22,3,hybrid,blue,50,76;34;26;16;12;11;11;9;8;7;7;6;3;3;3;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
with_influencer,40,17,2,hybrid,red,11,213;51;32;29;25;22;14;12;6;5;2
with_influencer,40,17,2,hybrid,green,11,164;94;49;47;20;14;13;11;8;7;6
with_influencer,40,17,2,hybrid,blue,9,222;66;36;32;22;11;5;5;2
with_influencer,40,17,3,hybrid,red,10,133;66;49;43;29;22;18;17;15;7
with_influencer,40,17,3,hybrid,green,7,254;91;38;29;10;6;4
