variant,size,seed,layers,similarity,step,moves,tau,entropy,gini,drift
without_influencer,100,70,1,hybrid,16,1,0.674503,0.329014,0.152719,0.013916
with_influencer,100,605,1,hybrid,16,58,0.702213,0.209798,0.097508,0.019285
baseline,120,11,1,cosine,12,3707,0.800000,0.431059,0.188224,0.000000
with_influencer,100,605,3,hybrid,16,28,0.694423,0.225907,0.105739,0.028314
with_influencer,100,605,2,hybrid,16,39,0.690525,0.223627,0.104066,0.034324
without_influencer,100,70,2,hybrid,16,0,0.669122,0.560128,0.255124,0.008274
baseline,120,42,1,cosine,12,3808,0.800000,0.444555,0.193626,0.000000
without_influencer,100,70,3,hybrid,16,0,0.679084,0.673634,0.302772,0.006229
with_influencer,100,70,1,hybrid,16,69,0.706170,0.188904,0.087819,0.021342
with_influencer,100,70,2,hybrid,16,32,0.692255,0.226643,0.105288,0.031842
baseline,120,20,1,cosine,12,3851,0.800000,0.440525,0.192072,0.000000
with_influencer,100,70,3,hybrid,16,19,0.694770,0.226256,0.105158,0.026545
baseline,120,17,1,cosine,12,3608,0.800000,0.439861,0.191957,0.000000
without_influencer,120,11,2,hybrid,12,0,0.661106,0.573211,0.260905,0.016210
without_influencer,120,11,1,hybrid,12,0,0.661338,0.349462,0.161895,0.021981
without_influencer,120,11,3,hybrid,12,0,0.673331,0.684901,0.307917,0.012805
with_influencer,120,11,1,hybrid,12,98,0.675139,0.236783,0.109962,0.033562
with_influencer,120,11,3,hybrid,12,44,0.671888,0.293008,0.136001,0.027276
without_influencer,120,42,2,hybrid,12,0,0.662087,0.575746,0.260782,0.014954
with_influencer,120,11,2,hybrid,12,48,0.672992,0.263534,0.122677,0.034342
without_influencer,120,42,1,hybrid,12,5,0.667344,0.337178,0.156641,0.022184
without_influencer,120,42,3,hybrid,12,0,0.674906,0.695815,0.312478,0.010920
with_influencer,120,42,2,hybrid,12,62,0.676789,0.252606,0.117429,0.036843
with_influencer,120,42,1,hybrid,12,110,0.686174,0.214853,0.099754,0.032701
without_influencer,120,20,2,hybrid,12,0,0.662190,0.604568,0.273601,0.014637
without_influencer,120,20,1,hybrid,12,4,0.664889,0.350881,0.162770,0.022007
with_influencer,120,42,3,hybrid,12,38,0.676460,0.274989,0.127855,0.028384
baseline,120,22,1,cosine,12,3606,0.800000,0.424104,0.185106,0.000000
with_influencer,120,20,1,hybrid,12,98,0.666892,0.257563,0.119548,0.033384
without_influencer,120,20,3,hybrid,12,0,0.674657,0.699766,0.314706,0.012089
baseline,120,605,1,cosine,12,3765,0.800000,0.430769,0.188118,0.000000
without_influencer,120,17,1,hybrid,12,2,0.664415,0.341480,0.158665,0.021576
with_influencer,120,20,3,hybrid,12,33,0.670950,0.297098,0.137996,0.026814
with_influencer,120,20,2,hybrid,12,66,0.667154,0.288069,0.133736,0.031314
baseline,120,70,1,cosine,12,3746,0.750000,0.407433,0.178227,0.000000
without_influencer,120,17,3,hybrid,12,0,0.674355,0.713006,0.320711,0.011693
without_influencer,120,17,2,hybrid,12,0,0.662065,0.591431,0.268964,0.015070
with_influencer,120,17,1,hybrid,12,103,0.678737,0.228678,0.105889,0.033028
without_influencer,120,22,1,hybrid,12,5,0.664118,0.333586,0.154756,0.021189
with_influencer,120,17,2,hybrid,12,55,0.672132,0.279102,0.130000,0.032899
with_influencer,120,17,3,hybrid,12,44,0.668032,0.312714,0.145507,0.027024
with_influencer,120,22,1,hybrid,12,111,0.678176,0.232142,0.107776,0.033132
without_influencer,120,22,3,hybrid,12,1,0.674312,0.707699,0.318206,0.012142
without_influencer,120,22,2,hybrid,12,0,0.662197,0.576440,0.262241,0.015889
with_influencer,120,22,2,hybrid,12,48,0.670114,0.270143,0.125555,0.033531
with_influencer,120,22,3,hybrid,12,38,0.674089,0.287616,0.133776,0.027748
without_influencer,120,605,2,hybrid,12,0,0.662747,0.583229,0.264892,0.015874
without_influencer,120,605,1,hybrid,12,3,0.664358,0.340319,0.157836,0.021787
without_influencer,120,605,3,hybrid,12,0,0.675277,0.693202,0.311658,0.011589
with_influencer,120,605,1,hybrid,12,105,0.680230,0.227893,0.105724,0.032743
without_influencer,120,70,1,hybrid,12,2,0.668657,0.317344,0.147388,0.020941
with_influencer,120,605,2,hybrid,12,47,0.673568,0.268549,0.124882,0.033741
baseline,140,11,1,cosine,12,5065,0.833333,0.468078,0.203574,0.000000
with_influencer,120,605,3,hybrid,12,31,0.675518,0.277288,0.128841,0.028407
without_influencer,120,70,2,hybrid,12,0,0.662387,0.552110,0.250422,0.015272
baseline,140,42,1,cosine,12,5010,0.833333,0.465899,0.202203,0.000000
without_influencer,120,70,3,hybrid,12,0,0.674041,0.688570,0.309735,0.011967
with_influencer,120,70,1,hybrid,12,100,0.691728,0.209976,0.097565,0.028261
with_influencer,120,70,2,hybrid,12,64,0.679387,0.246721,0.114782,0.037883
with_influencer,120,70,3,hybrid,12,36,0.676894,0.276626,0.128721,0.026233
baseline,140,20,1,cosine,12,5037,0.800000,0.427476,0.186398,0.000000
baseline,140,17,1,cosine,12,5127,0.800000,0.427042,0.186494,0.000000
without_influencer,140,11,1,hybrid,12,6,0.666265,0.327611,0.151924,0.021395
