variant,size,layers,final_entropy_mean,final_entropy_std,final_gini_mean,final_gini_std,final_drift_mean,final_drift_std,final_moves_mean,final_moves_std,total_clusters_mean,total_clusters_std,frac_largest_red_mean,frac_largest_green_mean,frac_largest_blue_mean
without_influencer,80,2,0.5659135714285715,0.014294858980966331,0.25713899999999995,0.0063654142049045116,0.008717,0.0009160804185950777,0.0,0.0,266.14285714285717,9.0448617352353,0.17225928571428573,0.2102487142857143,0.2510307142857143
without_influencer,80,3,0.6835214285714286,0.01571316815982849,0.3071205714285714,0.0072287535084352055,0.006170285714285714,0.0009113515081616816,0.14285714285714285,0.37796447300922725,388.0,10.472185381603339,0.1952242857142857,0.20872814285714283,0.2727357142857143
without_influencer,100,1,0.32774042857142854,0.009555969231448004,0.15231414285714284,0.004564574146933885,0.013195142857142858,0.0005753695706736172,1.4285714285714286,1.7182493859684491,210.14285714285714,7.668736780560654,0.17087871428571427,0.13238442857142857,0.19587557142857143
without_influencer,100,2,0.5589842857142857,0.010459860654175165,0.2543668571428572,0.004703557782096839,0.008806142857142856,0.0003764595722302856,0.2857142857142857,0.48795003647426666,386.42857142857144,9.378293072429603,0.16681857142857143,0.16784057142857142,0.22739985714285713
without_influencer,100,3,0.6837405714285715,0.012632246195842642,0.307365,0.00547185081424315,0.006061714285714286,0.00047009634270920615,0.14285714285714285,0.37796447300922725,585.5714285714286,14.683972474063264,0.17106957142857143,0.1714767142857143,0.24121528571428572
without_influencer,120,1,0.33860714285714283,0.011247479901864983,0.15713585714285713,0.0051340498448616476,0.02166642857142857,0.00045820732466968656,3.0,1.8257418583505538,321.2857142857143,16.152546607416486,0.12303571428571429,0.12807614285714286,0.10072528571428571
without_influencer,120,2,0.5795335714285714,0.016319061828192847,0.2631152857142857,0.007297577673773807,0.015415142857142858,0.0005808988519445325,0.0,0.0,583.5714285714286,25.696025262396407,0.124274,0.15673757142857145,0.1250895714285714
without_influencer,120,3,0.6975655714285713,0.010077632209620532,0.31363014285714286,0.004569161025417089,0.011886428571428572,0.0005797240312260247,0.14285714285714285,0.37796447300922725,830.0,16.733200530681515,0.123768,0.17162785714285714,0.115684
without_influencer,140,1,0.3301695714285714,0.010411682298539178,0.15317242857142857,0.0048428788565323,0.021574428571428574,0.0005014541711006959,3.4285714285714284,3.598941643369749,417.57142857142856,8.772250620700529,0.11506557142857142,0.09363685714285715,0.100353
without_influencer,140,2,0.5706611428571429,0.005623275600234334,0.259252,0.0027154886607508835,0.015518142857142857,0.00026784412666787404,0.5714285714285714,0.5345224838248488,767.0,20.510160083886877,0.06788628571428572,0.10423171428571429,0.11216642857142857
without_influencer,140,3,0.6925104285714285,0.008247008080856613,0.3111242857142857,0.0034386152113065277,0.012145571428571427,0.00037225164299743,0.0,0.0,1109.5714285714287,37.23733405628078,0.07314657142857142,0.10156742857142857,0.10601057142857143
