variant,size,seed,layers,similarity,run_tag,step,moves,tau,entropy,gini,drift,metrics_file
without_influencer,140,11,3,hybrid,without_influencer_size140_seed11_L3_hybrid,11,0,0.673154,0.691277,0.311113,0.013908,outputs\size_sweep\metrics\without_influencer_size140_seed11_L3_hybrid.csv
without_influencer,140,11,3,hybrid,without_influencer_size140_seed11_L3_hybrid,12,0,0.674147,0.68815,0.309635,0.011492,outputs\size_sweep\metrics\without_influencer_size140_seed11_L3_hybrid.csv
without_influencer,140,17,1,hybrid,without_influencer_size140_seed17_L1_hybrid,1,4829,0.147538,0.917005,0.406475,0.314409,outputs\size_sweep\metrics\without_influencer_size140_seed17_L1_hybrid.csv
without_influencer,140,17,1,hybrid,without_influencer_size140_seed17_L1_hybrid,2,2099,0.329637,0.630239,0.284847,0.237447,outputs\size_sweep\metrics\without_influencer_size140_seed17_L1_hybrid.csv
without_influencer,140,17,1,hybrid,without_influencer_size140_seed17_L1_hybrid,3,598,0.463333,0.491916,0.224355,0.160255,outputs\size_sweep\metrics\without_influencer_size140_seed17_L1_hybrid.csv
without_influencer,140,17,1,hybrid,without_influencer_size140_seed17_L1_hybrid,4,134,0.537632,0.43051,0.19775,0.113619,outputs\size_sweep\metrics\without_influencer_size140_seed17_L1_hybrid.csv
without_influencer,140,17,1,hybrid,without_influencer_size140_seed17_L1_hybrid,5,55,0.577388,0.402597,0.185479,0.090615,outputs\size_sweep\metrics\without_influencer_size140_seed17_L1_hybrid.csv
without_influencer,140,17,1,hybrid,without_influencer_size140_seed17_L1_hybrid,6,27,0.60507,0.383664,0.177133,0.069455,outputs\size_sweep\metrics\without_influencer_size140_seed17_L1_hybrid.csv
without_influencer,140,17,1,hybrid,without_influencer_size140_seed17_L1_hybrid,7,8,0.624635,0.369098,0.170502,0.055851,outputs\size_sweep\metrics\without_influencer_size140_seed17_L1_hybrid.csv
without_influencer,140,17,1,hybrid,without_influencer_size140_seed17_L1_hybrid,8,3,0.639165,0.356289,0.164743,0.044142,outputs\size_sweep\metrics\without_influencer_size140_seed17_L1_hybrid.csv
without_influencer,140,17,1,hybrid,without_influencer_size140_seed17_L1_hybrid,9,2,0.649781,0.347579,0.160859,0.035849,outputs\size_sweep\metrics\without_influencer_size140_seed17_L1_hybrid.csv
without_influencer,140,17,1,hybrid,without_influencer_size140_seed17_L1_hybrid,10,1,0.657167,0.340092,0.157558,0.029616,outputs\size_sweep\metrics\without_influencer_size140_seed17_L1_hybrid.csv
without_influencer,140,17,1,hybrid,without_influencer_size140_seed17_L1_hybrid,11,3,0.662803,0.33167,0.153736,0.024636,outputs\size_sweep\metrics\without_influencer_size140_seed17_L1_hybrid.csv
without_influencer,140,17,1,hybrid,without_influencer_size140_seed17_L1_hybrid,12,0,0.667154,0.327526,0.15191,0.020844,outputs\size_sweep\metrics\without_influencer_size140_seed17_L1_hybrid.csv
without_influencer,140,17,2,hybrid,without_influencer_size140_seed17_L2_hybrid,1,781,0.358295,1.10543,0.482335,0.324929,outputs\size_sweep\metrics\without_influencer_size140_seed17_L2_hybrid.csv
